Department,Cheese,French Page,Milk,Milk Number
Haute-Marne,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Cow Milk,1
Lozère,Pélardon,http://fr.wikipedia.org/wiki/P%C3%A9lardon,Goat Milk,3
Aube,Brie de Melun,http://fr.wikipedia.org/wiki/Brie_de_Melun,Cow Milk,1
Ain,Chevret,http://fr.wikipedia.org/wiki/Chevret,Goat Milk,3
Jura,Pérassu,http://fr.wikipedia.org/wiki/P%C3%A9rassu,Cow Milk,1
Lozère,Rebarbe,http://fr.wikipedia.org/wiki/Rebarbe,Sheep Milk,2
Réunion,Takamaka,http://fr.wikipedia.org/wiki/Takamaka_%28fromage%29,Goat Milk,3
Savoie,Cow Milkrin des Bauges,http://fr.wikipedia.org/wiki/Cow Milkrin_des_Bauges,Cow Milk,1
Saône-et-Loire,Mâconnais,http://fr.wikipedia.org/wiki/M%C3%A2connais_%28fromage%29,Goat Milk,3
Seine-Maritime,Neufchâtel,http://fr.wikipedia.org/wiki/Neufch%C3%A2tel_%28fromage%29,Cow Milk,1
Aveyron,Cabécou,http://fr.wikipedia.org/wiki/Cab%C3%A9cou,Goat Milk,3
Aube,Soumaintrain,http://fr.wikipedia.org/wiki/Soumaintrain_%28fromage%29,Cow Milk,1
Savoie,Raclette,http://fr.wikipedia.org/wiki/Raclette,Cow Milk,1
Loir-et-Cher,Valençay,http://fr.wikipedia.org/wiki/Valen%C3%A7ay_%28fromage%29,Goat Milk,3
Aude,Pélardon,http://fr.wikipedia.org/wiki/P%C3%A9lardon,Goat Milk,3
Ariège,Bethmale,http://fr.wikipedia.org/wiki/Bethmale_%28fromage%29,Cow Milk,1
Nord,Rollot,http://fr.wikipedia.org/wiki/Rollot_%28fromage%29,Cow Milk,1
Loir-et-Cher,Le Petit Trôo,http://fr.wikipedia.org/wiki/Le_Petit_Tr%C3%B4o,Cow Milk,1
Puy-de-Dôme,Le Lavort,http://fr.wikipedia.org/wiki/Le_Lavort,Sheep Milk,2
Pyrénées-Atlantiques,Ardi-Gasna,http://fr.wikipedia.org/wiki/Ardi-Gasna,Sheep Milk,2
Rhône,Mâconnais,http://fr.wikipedia.org/wiki/M%C3%A2connais_%28fromage%29,Goat Milk,3
Yonne,Boulette de la Pierre-qui-Vire,http://fr.wikipedia.org/wiki/Boulette_de_la_Pierre-qui-Vire,Cow Milk,1
Lozère,Bleu des Causses,http://fr.wikipedia.org/wiki/Bleu_des_Causses,Cow Milk,1
Tarn,Pélardon,http://fr.wikipedia.org/wiki/P%C3%A9lardon,Goat Milk,3
Cher,Faisselle,http://fr.wikipedia.org/wiki/Faisselle,Cow Milk,1
Yonne,Brie de Melun,http://fr.wikipedia.org/wiki/Brie_de_Melun,Cow Milk,1
Haute-Garonne,Cathare,http://fr.wikipedia.org/wiki/Cathare_%28marque%29,Goat Milk,3
Aube,Chaource,http://fr.wikipedia.org/wiki/Chaource_%28fromage%29,Cow Milk,1
Haute-Garonne,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,Cow Milk,1
Cher,Crottin de Chavignol,http://fr.wikipedia.org/wiki/Crottin_de_Chavignol,Goat Milk,3
Territoire de Belfort,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Cow Milk,1
Ariège,Montségur,http://fr.wikipedia.org/wiki/Monts%C3%A9gur_%28marque%29,Cow Milk,1
Cantal,Bleu de Thiézac,http://fr.wikipedia.org/wiki/Bleu_de_Thi%C3%A9zac,Cow Milk,1
Jura,La Cow Milk qui rit,http://fr.wikipedia.org/wiki/La_Cow Milk_qui_rit,Cow Milk,1
Loiret,Patay,http://fr.wikipedia.org/wiki/Patay_%28fromage%29,Cow Milk,1
Lot,Rocamadour,http://fr.wikipedia.org/wiki/Rocamadour_%28fromage%29,Goat Milk,3
Eure,Le Pavé du Plessis,http://fr.wikipedia.org/wiki/Le_Pav%C3%A9_du_Plessis,Cow Milk,1
Lozère,Persillé du Malzieu,http://fr.wikipedia.org/wiki/Persill%C3%A9_du_Malzieu,Sheep Milk,2
Nord,Baguette paysanne à la moutarde,http://fr.wikipedia.org/wiki/Baguette_paysanne_%C3%A0_la_moutarde,Cow Milk,1
Pas-de-Calais,Ch'ti Crémeux,http://fr.wikipedia.org/wiki/Ch%27ti_Cr%C3%A9meux,Cow Milk,1
Saône-et-Loire,Charolais,http://fr.wikipedia.org/wiki/Charolais_%28fromage%29,Goat Milk,3
Haut-Rhin,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,Cow Milk,1
Pas-de-Calais,Rollot,http://fr.wikipedia.org/wiki/Rollot_%28fromage%29,Cow Milk,1
Haute-Corse,Brin d'amour,http://fr.wikipedia.org/wiki/Brin_d%27amour,Sheep Milk,2
Savoie,Abbaye de Tamié,http://fr.wikipedia.org/wiki/Abbaye_de_Tami%C3%A9_%28fromage%29,Cow Milk,1
Ain,Chevret du Haut-Jura,http://fr.wikipedia.org/wiki/Chevret_du_Haut-Jura,Cow Milk,1
Ardèche,Le Coucouron,http://fr.wikipedia.org/wiki/Le_Coucouron,Cow Milk,1
Loire,Charolais,http://fr.wikipedia.org/wiki/Charolais_%28fromage%29,Goat Milk,3
Loire,Rigotte de Pélussin,http://fr.wikipedia.org/wiki/Rigotte_de_P%C3%A9lussin,Goat Milk,3
Loiret,Olivet,http://fr.wikipedia.org/wiki/Olivet_%28fromage%29,Cow Milk,1
Pyrénées-Atlantiques,Le Brebiou,http://fr.wikipedia.org/wiki/Le_Brebiou,Sheep Milk,2
Réunion,Notre Dame de la Paix,http://fr.wikipedia.org/wiki/Notre_Dame_de_la_Paix,Cow Milk,1
Réunion,Ti frais des Hauts,http://fr.wikipedia.org/wiki/Ti_frais_des_Hauts,Cow Milk,1
Savoie,Persillé de Tignes,http://fr.wikipedia.org/wiki/Persill%C3%A9_de_Tignes,Goat Milk,3
Yonne,Abbaye de la Pierre-qui-Vire,http://fr.wikipedia.org/wiki/Abbaye_de_la_Pierre-qui-Vire_%28fromage%29,Cow Milk,1
Côte-d'Or,Le Trou du Cru,http://fr.wikipedia.org/wiki/Le_Trou_du_Cru,Cow Milk,1
Pyrénées-Atlantiques,Etorki,http://fr.wikipedia.org/wiki/Etorki,Sheep Milk,2
Loir-et-Cher,Sainte-Maure de Touraine,http://fr.wikipedia.org/wiki/Sainte-Maure_de_Touraine_%28fromage%29,Goat Milk,3
Hérault,Pélardon,http://fr.wikipedia.org/wiki/P%C3%A9lardon,Goat Milk,3
Ariège,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,Cow Milk,1
Nord,Mont des Cats,http://fr.wikipedia.org/wiki/Mont_des_Cats_%28marque_de_fromage%29,Cow Milk,1
Mayenne,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,Cow Milk,1
Pas-de-Calais,Fort de Béthune,http://fr.wikipedia.org/wiki/Fort_de_B%C3%A9thune,Cow Milk,1
Lozère,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,Cow Milk,1
Haute-Marne,Caprice des Dieux,http://fr.wikipedia.org/wiki/Caprice_des_Dieux,Cow Milk,1
Seine-et-Marne,Brie de Melun,http://fr.wikipedia.org/wiki/Brie_de_Melun,Cow Milk,1
Côte-d'Or,Aisy cendré,http://fr.wikipedia.org/wiki/Aisy_cendr%C3%A9,Cow Milk,1
Savoie,Brézain,http://fr.wikipedia.org/wiki/Br%C3%A9zain,Cow Milk,1
Haute-Corse,Corsica,http://fr.wikipedia.org/wiki/Corsica_%28marque%29,Sheep Milk,2
Pas-de-Calais,Le Sire de Créquy,http://fr.wikipedia.org/wiki/Le_Sire_de_Cr%C3%A9quy,Cow Milk,1
Savoie,Bleu du Mont-Cenis,http://fr.wikipedia.org/wiki/Bleu_du_Mont-Cenis,Cow Milk,1
Haute-Loire,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,Cow Milk,1
Calvados,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,Cow Milk,1
Yonne,Boule des moines,http://fr.wikipedia.org/wiki/Boule_des_moines,Cow Milk,1
Seine-Maritime,Le Graval,http://fr.wikipedia.org/wiki/Le_Graval,Cow Milk,1
Aveyron,Société,http://fr.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_%28marque%29,Sheep Milk,2
Côte-d'Or,Petit Gaugry,http://fr.wikipedia.org/wiki/Petit_Gaugry,Cow Milk,1
Aisne,Belle des champs,http://fr.wikipedia.org/wiki/Belle_des_champs,Cow Milk,1
Rhône,Arôme au vin blanc,http://fr.wikipedia.org/wiki/Ar%C3%B4me_au_vin_blanc,Cow Milk,1
Savoie,Grataron du Beaufortain,http://fr.wikipedia.org/wiki/Grataron_du_Beaufortain,Goat Milk,3
Saône-et-Loire,Autun,http://fr.wikipedia.org/wiki/Autun_%28fromage%29,Goat Milk,3
Savoie,Moelleux du Revard,http://fr.wikipedia.org/wiki/Moelleux_du_Revard,Cow Milk,1
Jura,Bleu de Gex,http://fr.wikipedia.org/wiki/Bleu_de_Gex,Cow Milk,1
Hautes-Pyrénées,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,Cow Milk,1
Yonne,Époisses,http://fr.wikipedia.org/wiki/%C3%89poisses_%28fromage%29,Cow Milk,1
Somme,Rollot,http://fr.wikipedia.org/wiki/Rollot_%28fromage%29,Cow Milk,1
Aube,Barberey,http://fr.wikipedia.org/wiki/Barberey_%28fromage%29,Cow Milk,1
Haute-Loire,Bleu de Loudes,http://fr.wikipedia.org/wiki/Bleu_de_Loudes,Cow Milk,1
Nord,Briquette de l'Ecaillon,http://fr.wikipedia.org/wiki/Briquette_de_l%27Ecaillon,Goat Milk,3
Nord,T'chiot biloute,http://fr.wikipedia.org/wiki/T%27chiot_biloute,Cow Milk,1
Puy-de-Dôme,Fourme de Rochefort-Montagne,http://fr.wikipedia.org/wiki/Fourme_de_Rochefort-Montagne,Cow Milk,1
Réunion,Petit moka,http://fr.wikipedia.org/wiki/Petit_moka,Cow Milk,1
Puy-de-Dôme,Gaperon,http://fr.wikipedia.org/wiki/Gaperon,Cow Milk,1
Mayenne,Trappiste de Laval,http://fr.wikipedia.org/wiki/Trappiste_de_Laval,Cow Milk,1
Oise,Neufchâtel,http://fr.wikipedia.org/wiki/Neufch%C3%A2tel_%28fromage%29,Cow Milk,1
Savoie,Beaufort,http://fr.wikipedia.org/wiki/Beaufort_%28fromage%29,Cow Milk,1
Sarthe,Kiri,http://fr.wikipedia.org/wiki/Kiri_%28marque%29,Cow Milk,1
Lot,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,Cow Milk,1
Ariège,Le Rogallais,http://fr.wikipedia.org/wiki/Le_Rogallais,Cow Milk,1
Isère,Bleu du Vercors-Sassenage,http://fr.wikipedia.org/wiki/Bleu_du_Vercors-Sassenage,Cow Milk,1
Ain,Bresse Bleu,http://fr.wikipedia.org/wiki/Bresse_Bleu,Cow Milk,1
Ain,Comté,http://fr.wikipedia.org/wiki/Comt%C3%A9_%28fromage%29,Cow Milk,1
Allier,Charolais,http://fr.wikipedia.org/wiki/Charolais_%28fromage%29,Goat Milk,3
Aveyron,Recuite,http://fr.wikipedia.org/wiki/Recuite,Sheep Milk,2
Cantal,Carré d'Aurillac,http://fr.wikipedia.org/wiki/Carr%C3%A9_d%27Aurillac,Cow Milk,1
Manche,Coutances,http://fr.wikipedia.org/wiki/Coutances_%28marque%29,Cow Milk,1
Nord,Carré du Vinage,http://fr.wikipedia.org/wiki/Carr%C3%A9_du_Vinage,Cow Milk,1
Pyrénées-Atlantiques,Tomette de Sheep Milk,http://fr.wikipedia.org/wiki/Tomette_de_Sheep Milk,Sheep Milk,2
Savoie,Bleu de Sainte-Foy,http://fr.wikipedia.org/wiki/Bleu_de_Sainte-Foy,Cow Milk,1
Seine-et-Marne,Fontainebleau,http://fr.wikipedia.org/wiki/Fontainebleau_%28dessert%29,Cow Milk,1
Val-de-Marne,Délice de Saint-Cyr,http://fr.wikipedia.org/wiki/D%C3%A9lice_de_Saint-Cyr,Cow Milk,1
Mayenne,Chaussée aux moines,http://fr.wikipedia.org/wiki/Chauss%C3%A9e_aux_moines,Cow Milk,1
Vienne,Sainte-Maure de Touraine,http://fr.wikipedia.org/wiki/Sainte-Maure_de_Touraine_%28fromage%29,Goat Milk,3
Aveyron,Laguiole,http://fr.wikipedia.org/wiki/Laguiole_%28fromage%29,Cow Milk,1
Hautes-Pyrénées,Ossau-iraty,http://fr.wikipedia.org/wiki/Ossau-iraty,Sheep Milk,2
Aveyron,Tome fraîche,http://fr.wikipedia.org/wiki/Tome_fra%C3%AEche,Cow Milk,1
Allier,Chambérat,http://fr.wikipedia.org/wiki/Chamb%C3%A9rat_%28fromage%29,Cow Milk,1
Indre-et-Loire,Couronne Lochoise,http://fr.wikipedia.org/wiki/Couronne_Lochoise,Goat Milk,3
Lozère,Le Fédou,http://fr.wikipedia.org/wiki/Le_F%C3%A9dou,Sheep Milk,2
Nord,Tome de Cambrai,http://fr.wikipedia.org/wiki/Tome_de_Cambrai,Cow Milk,1
Réunion,Cap Noir,http://fr.wikipedia.org/wiki/Cap_Noir_%28fromage%29,Cow Milk,1
Savoie,Emmental de Savoie,http://fr.wikipedia.org/wiki/Emmental_de_Savoie,Cow Milk,1
Savoie,Tomme forte de Savoie,http://fr.wikipedia.org/wiki/Tomme_forte_de_Savoie,Cow Milk,1
Ain,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Cow Milk,1
Aude,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,Cow Milk,1
Puy-de-Dôme,Roue de Ris,http://fr.wikipedia.org/wiki/Roue_de_Ris,Sheep Milk,2
Aveyron,Bleu des Causses,http://fr.wikipedia.org/wiki/Bleu_des_Causses,Cow Milk,1
Mayenne,Bons Mayennais,http://fr.wikipedia.org/wiki/Bons_Mayennais,Cow Milk,1
Puy-de-Dôme,Saint-nectaire,http://fr.wikipedia.org/wiki/Saint-nectaire_%28fromage%29,Cow Milk,1
Haute-Saône,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,Cow Milk,1
Jura,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Cow Milk,1
Indre,Valençay,http://fr.wikipedia.org/wiki/Valen%C3%A7ay_%28fromage%29,Goat Milk,3
Puy-de-Dôme,Fourme d'Ambert,http://fr.wikipedia.org/wiki/Fourme_d%27Ambert,Cow Milk,1
Charente,Chavroux,http://fr.wikipedia.org/wiki/Chavroux,Goat Milk,3
Bas-Rhin,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,Cow Milk,1
Nord,Boulet de Cassel,http://fr.wikipedia.org/wiki/Boulet_de_Cassel,Cow Milk,1
Haute-Marne,Brie de Meaux,http://fr.wikipedia.org/wiki/Brie_de_Meaux,Cow Milk,1
Aisne,Dauphin,http://fr.wikipedia.org/wiki/Dauphin_%28fromage%29,Cow Milk,1
Ardèche,Saint-félicien,http://fr.wikipedia.org/wiki/Saint-f%C3%A9licien_%28fromage_de_l%27Ard%C3%A8che%29,Cow Milk,1
Aveyron,Lou Pérac,http://fr.wikipedia.org/wiki/Lou_P%C3%A9rac,Sheep Milk,2
Eure,Pavé d'Auge,http://fr.wikipedia.org/wiki/Pav%C3%A9_d%27Auge,Cow Milk,1
Loiret,Pithiviers au foin,http://fr.wikipedia.org/wiki/Pithiviers_au_foin,Cow Milk,1
Orne,Pavé d'Auge,http://fr.wikipedia.org/wiki/Pav%C3%A9_d%27Auge,Cow Milk,1
Savoie,Tome des Bauges,http://fr.wikipedia.org/wiki/Tome_des_Bauges,Cow Milk,1
Gard,Pélardon,http://fr.wikipedia.org/wiki/P%C3%A9lardon,Goat Milk,3
Ain,Carré Frais,http://fr.wikipedia.org/wiki/Carr%C3%A9_Frais,Cow Milk,1
Nord,Le Rouchi à l'échalote,http://fr.wikipedia.org/wiki/Le_Rouchi_%C3%A0_l%27%C3%A9chalote,Cow Milk,1
Pyrénées-Atlantiques,Kaïkou,http://fr.wikipedia.org/wiki/Ka%C3%AFkou,Sheep Milk,2
Réunion,La Fournaise,http://fr.wikipedia.org/wiki/La_Fournaise_%28fromage%29,Cow Milk,1
Savoie,Abondance,http://fr.wikipedia.org/wiki/Abondance_%28fromage%29,Cow Milk,1
